Date,America,France,Britain,Italy,China,Germany
2016/11/10,-2.898519831,21.4700934,41.49333333,-52.13728315,11.87704328,-19.80466703
2016/11/11,-4.469116991,16.59950873,50.20553193,-54.65645897,12.72831263,-20.40777733
2016/11/14,1.61761622,11.79994968,46.64299775,-51.38175592,11.03516351,-19.71397125
2016/11/15,0.949904221,12.21833524,44.71889447,-49.19049253,10.08952758,-18.78616898
2016/11/16,3.258867519,10.11201898,44.42411,-49.31615767,12.21322383,-20.69206266
2016/11/17,3.628047106,14.27548747,45.04669512,-50.94916649,11.94865724,-23.94972045
2016/11/18,7.357741542,20.00549862,41.5119753,-52.74471809,10.73546254,-26.86595991
2016/11/21,8.785783167,17.80174351,40.31519597,-51.09475216,10.62893485,-26.43690533
2016/11/22,7.531875876,18.02029285,37.90443443,-50.31058442,10.98290222,-24.12892095
2016/11/23,4.617524809,16.50626478,35.72460745,-47.94115323,10.80867934,-19.71592314
2016/11/25,-8.022720586,13.26574841,33.93708903,-46.43279173,13.04257955,-5.789904673
2016/11/28,-3.972415956,8.671911118,30.60660779,-44.98683658,12.33202782,-2.651294188
2016/11/29,-3.888165989,8.4816124,30.39861438,-45.34751726,12.17637648,-1.820920008
2016/11/30,-5.10657348,5.821101145,29.31311779,-41.90418803,12.38225787,-0.505715304
2016/12/1,-3.511817464,11.05321375,28.15937126,-44.10024651,11.76544318,-3.365964218
2016/12/2,-2.48188776,14.12527864,29.44216728,-43.08546996,4.40574477,-2.405832971
2016/12/5,-6.821976849,29.66692669,20.68500319,-41.26469694,1.484801415,-3.750057503
2016/12/6,-8.357808161,48.54063995,13.17616897,-45.67320952,-2.906090814,-4.779700425
2016/12/7,-11.09436909,45.21916455,7.692111444,-39.33368322,1.719253826,-4.202477504
2016/12/8,-10.12909498,44.92455549,9.11342317,-40.6410959,2.951169716,-6.218957498
2016/12/9,-6.407940698,39.56909314,29.10633082,-43.45347206,-6.10515759,-12.70885362
2016/12/12,4.740107265,34.76310676,28.99032142,-48.22280228,-6.123673246,-14.1470599
2016/12/13,4.86039853,33.98725093,29.51484512,-46.46634009,-8.080595958,-13.81555854
2016/12/14,9.659297179,33.58098835,30.25867029,-49.23819164,-6.923261279,-17.3375029
2016/12/15,8.670347571,33.47227883,29.71854369,-47.39703672,-7.954274488,-16.50985887
2016/12/16,7.816101737,29.42109721,35.23180439,-47.97368802,-7.676658482,-16.81865685
2016/12/19,9.379947289,36.92459044,27.41433357,-49.9987591,-6.888345443,-16.83176676
2016/12/20,6.900510321,37.88457114,22.58671358,-47.72848023,-3.619308883,-16.02400593
2016/12/21,16.94460579,35.17222342,20.17929595,-49.14417832,-2.583269503,-20.56867734
2016/12/22,18.24842729,35.29734463,19.55032407,-48.23924602,-4.101808167,-20.75504181
